bus,p_nom,carrier,entry,exit,efficiency,start_up_cost,ramp_limit_up,ramp_limit_down,p_min_pu,min_up_time,min_down_time,var_om,p_nom_max,p_nom_min,invest_status
AT00,359.4636510500809,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,359.4636510500809,0.01,existing
AT00,1383.4165993537963,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1383.4165993537963,0.01,existing
AT00,191.8291599353795,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,191.8291599353795,0.01,existing
AT00,1985.6910339256867,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1985.6910339256867,0.01,existing
BE00,601.1961799935252,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,601.1961799935252,0.01,existing
BE00,245.8262715898927,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,245.8262715898927,0.01,existing
BE00,5216.692247633919,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,5216.692247633919,0.01,existing
BG00,789.3757575757576,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,789.3757575757576,0.01,existing
BG00,506.24545454545444,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,506.24545454545444,0.01,existing
CH00,8.0,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,8.0,0.01,existing
CH00,23.0,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,23.0,0.01,existing
CH00,20.0,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,20.0,0.01,existing
CH00,524.0,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,524.0,0.01,existing
CY00,192.55757929068,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,192.55757929068,0.01,existing
CY00,701.5724917598955,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,701.5724917598955,0.01,existing
CZ00,1130.517179023508,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1130.517179023508,0.01,existing
CZ00,269.6419529837251,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,269.6419529837251,0.01,existing
CZ00,246.55334538878856,CCGT,2033,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,246.55334538878856,0.01,existing
DE00,458.8895819660538,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,458.8895819660538,0.01,existing
DE00,5749.7540151264475,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,5749.7540151264475,0.01,existing
DE00,9670.961597529078,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,9670.961597529078,0.01,existing
DE00,13758.117364921129,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,13758.117364921129,0.01,existing
DKE1,13.212442091330217,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,13.212442091330217,0.01,existing
