Standard efficiency in NCV terms,CO2 emission factor,Variable O&M cost,Min Time on,Min Time off,Start-up fuel consumption - warm start,Start-up fix cost (e.g. wear) warm start,Start-up fuel consumption - cold start,Start-up fix cost (e.g. wear) cold start,Start-up fuel consumption - hot start,Start-up fix cost (e.g. wear) hot start,Unnamed: 17,Unnamed: 18,Unavailability %,Unavailability Days,Unavailability number of days,Unavailability % of annual number of days,Minimum stable generation (% of max power),Ramp up rate % of max output power / min,Ramp down rate % of max output power / min,Fixed generation reduction % of max output power
0.5216666666666666,48.449999999999996,1.866666666666667,2.6666666666666665,2.6666666666666665,7.599999999999999,39.025,9.7,51.81166666666667,4.1,27.41,8.0,48.0,0.06,1.0,27.0,0.15,0.43333333333333335,0.03333333333333333,0.05000000000000001,0.0
0.385,57.0,1.35,3.0,3.0,3.905,46.595,4.975,51.2925,2.15,27.2125,5.0,25.5,0.07250000000000001,1.0,20.0,0.15,0.325,0.125,0.125,0.0
0.3975,72.85,4.125,6.5,6.5,18.0,53.055,21.0,78.505,10.5,41.1125,12.0,72.0,0.0875,1.0,27.0,0.15,0.325,0.03,0.05,0.0
0.51,0.0,1.6,1.5,1.5,3.905,22.71,4.975,30.150000000000002,2.15,19.58,5.0,25.5,0.05,1.0,20.0,0.15,0.4,0.08,0.08499999999999999,0.0
0.3975,78.275,4.125,9.5,9.5,18.0,53.055,21.0,78.505,10.5,41.1125,12.0,72.0,0.0875,1.0,27.0,0.15,0.5,0.02,0.05,0.0
0.33,0.0,9.0,12.0,12.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,7.0,54.0,0.15,0.4,0.05,0.05,0.0
0.356,86.8,2.86,5.2,5.2,10.282,51.6,12.33,71.796,5.88,38.524,8.4,48.6,0.091,1.0,24.2,0.15,0.5,0.08,0.08,0.0
0.41,0.0,1.1,5.0,5.0,7.6,45.42,9.7,58.73,4.1,28.19,8.0,48.0,0.08,1.0,27.0,0.15,0.2,0.15,0.15,0.0
0.41,57.0,1.1,5.0,5.0,7.6,45.42,9.7,58.73,4.1,28.19,8.0,48.0,0.08,1.0,27.0,0.15,0.2,0.15,0.15,0.0
0.6,57.0,1.6,2.0,2.0,7.6,25.06,9.7,36.02,4.1,21.93,8.0,48.0,0.05,1.0,27.0,0.15,0.4,0.04,0.05,0.0
0.42,57.0,1.6,1.0,1.0,0.21,20.36,0.25,24.28,0.2,17.23,2.0,3.0,0.05,1.0,13.0,0.15,0.4,0.12,0.12,0.0
