Efficiency range in NCV terms,Standard efficiency in NCV terms,CO2 emission factor,Variable O&M cost,Min Time on,Min Time off,Start-up fuel consumption - warm start,Start-up fix cost (e.g. wear) warm start,Start-up fuel consumption - cold start,Start-up fix cost (e.g. wear) cold start,Start-up fuel consumption - hot start,Start-up fix cost (e.g. wear) hot start,Unnamed: 17,Unnamed: 18,Unavailability %,Unavailability Days,Unavailability number of days,Unavailability % of annual number of days,Minimum stable generation (% of max power),Ramp up rate % of max output power / min,Ramp down rate % of max output power / min,Fixed generation reduction % of max output power
30% - 35%,0.33,0.0,9.0,12,12,14.0,21.0,0.0,0.0,0.0,0.0,0,0,0.05,7.0,54.0,0.15,0.4,0.05,0.05,0.0
30% - 37%,0.35,94.0,3.3,8,8,18.0,69.69,21.0,93.97,10.5,49.33,12,72,0.1,1.0,27.0,0.15,0.4,0.02,0.05,0.0
38% - 43%,0.4,94.0,3.3,6,6,18.0,50.12,21.0,81.44,10.5,42.29,12,72,0.1,1.0,27.0,0.15,0.4,0.02,0.05,0.0
44% - 46%,0.46,94.0,3.3,5,5,18.0,42.29,21.0,57.17,10.5,30.54,12,72,0.075,1.0,27.0,0.15,0.25,0.04,0.05,0.0
30% - 40%,0.38,9.4,6.6,7,7,18.0,50.12,21.0,81.44,10.5,42.29,12,72,0.075,1.0,27.0,0.15,0.25,0.04,0.05,0.0
30% - 37%,0.35,101.0,3.3,11,11,18.0,69.69,21.0,93.97,10.5,49.33,12,72,0.1,1.0,27.0,0.15,0.5,0.02,0.05,0.0
38% - 43%,0.4,101.0,3.3,9,9,18.0,50.12,21.0,81.44,10.5,42.29,12,72,0.1,1.0,27.0,0.15,0.5,0.02,0.05,0.0
44% - 46%,0.46,101.0,3.3,8,8,18.0,42.29,21.0,57.17,10.5,30.54,12,72,0.075,1.0,27.0,0.15,0.5,0.02,0.05,0.0
30% - 40%,0.38,10.1,6.6,10,10,18.0,50.12,21.0,81.44,10.5,42.29,12,72,0.075,1.0,27.0,0.15,0.5,0.02,0.05,0.0
25% - 38%,0.36,57.0,1.1,5,5,7.6,68.13,9.7,69.69,4.1,32.89,8,48,0.08,1.0,27.0,0.15,0.2,0.15,0.15,0.0
39% - 42%,0.41,57.0,1.1,5,5,7.6,45.42,9.7,58.73,4.1,28.19,8,48,0.08,1.0,27.0,0.15,0.2,0.15,0.15,0.0
33% - 44%,0.4,57.0,1.6,3,3,7.6,72.83,9.7,79.09,4.1,43.85,8,48,0.08,1.0,27.0,0.15,0.5,0.02,0.05,0.0
45% - 52%,0.48,57.0,1.6,3,3,7.6,43.07,9.7,61.86,4.1,27.41,8,48,0.08,1.0,27.0,0.15,0.5,0.02,0.05,0.0
53% - 60%,0.56,57.0,1.6,2,2,7.6,25.06,9.7,36.02,4.1,21.93,8,48,0.05,1.0,27.0,0.15,0.4,0.04,0.05,0.0
53% - 60%,0.58,57.0,1.6,2,2,7.6,25.06,9.7,36.02,4.1,21.93,8,48,0.05,1.0,27.0,0.15,0.4,0.04,0.05,0.0
53% - 60%,0.6,57.0,1.6,2,2,7.6,25.06,9.7,36.02,4.1,21.93,8,48,0.05,1.0,27.0,0.15,0.4,0.04,0.05,0.0
43% - 52%,0.51,5.7,3.2,4,4,7.6,43.07,9.7,61.86,4.1,27.41,8,48,0.05,1.0,27.0,0.15,0.4,0.04,0.05,0.0
35% - 38%,0.35,57.0,1.6,1,1,0.21,52.47,0.25,52.47,0.2,30.54,2,3,0.08,1.0,13.0,0.15,0.5,0.08,0.08,0.0
39% - 44%,0.42,57.0,1.6,1,1,0.21,20.36,0.25,24.28,0.2,17.23,2,3,0.05,1.0,13.0,0.15,0.4,0.12,0.12,0.0
32% - 38%,0.35,78.0,1.1,1,1,0.21,36.0,0.25,38.4,0.2,24.0,2,3,0.08,1.0,13.0,0.15,0.5,0.08,0.08,0.0
25% - 37%,0.35,78.0,3.3,3,3,7.6,70.0,9.7,93.97,4.1,49.33,8,48,0.1,1.0,27.0,0.15,0.5,0.08,0.08,0.0
38% - 43%,0.4,78.0,3.3,3,3,7.6,50.0,9.7,81.44,4.1,42.29,8,48,0.1,1.0,27.0,0.15,0.5,0.08,0.08,0.0
28% - 33%,0.29,100.0,3.3,11,11,18.0,60.0,21.0,88.0,10.5,46.0,12,72,0.1,1.0,27.0,0.15,0.5,0.08,0.08,0.0
34% - 39%,0.39,100.0,3.3,8,8,18.0,42.0,21.0,57.17,10.5,31.0,12,72,0.075,1.0,27.0,0.15,0.5,0.08,0.08,0.0
53% - 60%,0.6,0.0,1.6,2,2,7.6,25.06,9.7,36.02,4.1,21.93,8,48,0.05,1.0,27.0,0.15,0.4,0.04,0.05,0.0
39% - 44%,0.42,0.0,1.6,1,1,0.21,20.36,0.25,24.28,0.2,17.23,2,3,0.05,1.0,13.0,0.15,0.4,0.12,0.12,0.0
